TMA_num,photo_ID,QuadName,Location,ENTITY_ID,POINT_X,POINT_Y,VIEWS,Direction,Altitude,Length,photo_int,Date_,Country,Year,Azimuth_dd,SAMPLE_ele,Height_read(ft),Height_read(m),True_height,xcoord,ycoord
1815,1,,peninsula,CA18150001,-67.40177318,-70.74594427,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,443,16532.00105,5038.95392,4595.95392,-1949029.33,811231.8375
1815,2,,peninsula,CA18150002,-67.40122819,-70.76977386,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,402,16756.56493,5107.400991,4705.400991,-1946565.303,810227.9748
1815,3,,peninsula,CA18150003,-67.40068182,-70.79360508,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,345,16538.73099,5041.005206,4696.005206,-1944101.276,809224.1121
1815,4,,peninsula,CA18150004,-67.40013408,-70.8174379,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,327,16488.44165,5025.677015,4698.677015,-1941637.25,808220.2494
1815,5,,peninsula,CA18150005,-67.39958494,-70.84127234,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,304,16480.52165,5023.262999,4719.262999,-1939173.223,807216.3867
1815,6,,peninsula,CA18150006,-67.39903441,-70.86510838,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,250,16493.63719,5027.260616,4777.260616,-1936709.197,806212.524
1815,7,,peninsula,CA18150007,-67.39848249,-70.88894603,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,210,16470.00896,5020.058731,4810.058731,-1934245.17,805208.6613
1815,8,,peninsula,CA18150008,-67.39792916,-70.91278529,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,189,16456.11218,5015.822992,4826.822992,-1931781.143,804204.7986
1815,9,,peninsula,CA18150009,-67.39737442,-70.93662614,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,150,16429.07276,5007.581377,4857.581377,-1929317.117,803200.9359
1815,10,,peninsula,CA18150010,-67.39681827,-70.9604686,LVR,Flying from the left to the right-downwards,23300,123.9948044,1.653264058,1966,USA,1966,112.1663458,108,16392.89978,4996.555853,4888.555853,-1926853.09,802197.0732
